../../datasets/AT&T Database of Faces/faces/training/s38/4.pgm.png,../../datasets/AT&T Database of Faces/faces/training/s38/5.pgm.png,0
../../datasets/AT&T Database of Faces/faces/training/s11/10.pgm.png,../../datasets/AT&T Database of Faces/faces/training/s11/9.pgm.png,0
../../datasets/AT&T Database of Faces/faces/training/s5/10.pgm.png,../../datasets/AT&T Database of Faces/faces/training/s5/8.pgm.png,0
../../datasets/AT&T Database of Faces/faces/training/s14/4.pgm.png,../../datasets/AT&T Database of Faces/faces/training/s14/7.pgm.png,0
../../datasets/AT&T Database of Faces/faces/training/s3/2.pgm.png,../../datasets/AT&T Database of Faces/faces/training/s3/6.pgm.png,0
../../datasets/AT&T Database of Faces/faces/training/s7/6.pgm.png,../../datasets/AT&T Database of Faces/faces/training/s7/9.pgm.png,0
../../datasets/AT&T Database of Faces/faces/training/s29/8.pgm.png,../../datasets/AT&T Database of Faces/faces/training/s29/9.pgm.png,0
../../datasets/AT&T Database of Faces/faces/training/s16/2.pgm.png,../../datasets/AT&T Database of Faces/faces/training/s16/3.pgm.png,0
../../datasets/AT&T Database of Faces/faces/training/s16/3.pgm.png,../../datasets/AT&T Database of Faces/faces/training/s16/7.pgm.png,0
../../datasets/AT&T Database of Faces/faces/training/s22/4.pgm.png,../../datasets/AT&T Database of Faces/faces/training/s22/7.pgm.png,0
../../datasets/AT&T Database of Faces/faces/training/s38/2.pgm.png,../../datasets/AT&T Database of Faces/faces/training/s38/8.pgm.png,0
../../datasets/AT&T Database of Faces/faces/training/s25/6.pgm.png,../../datasets/AT&T Database of Faces/faces/training/s25/9.pgm.png,0
../../datasets/AT&T Database of Faces/faces/training/s26/10.pgm.png,../../datasets/AT&T Database of Faces/faces/training/s26/7.pgm.png,0
../../datasets/AT&T Database of Faces/faces/training/s7/4.pgm.png,../../datasets/AT&T Database of Faces/faces/training/s7/7.pgm.png,0
../../datasets/AT&T Database of Faces/faces/training/s30/1.pgm.png,../../datasets/AT&T Database of Faces/faces/training/s30/4.pgm.png,0
../../datasets/AT&T Database of Faces/faces/training/s30/4.pgm.png,../../datasets/AT&T Database of Faces/faces/training/s30/6.pgm.png,0
../../datasets/AT&T Database of Faces/faces/training/s14/1.pgm.png,../../datasets/AT&T Database of Faces/faces/training/s14/2.pgm.png,0
../../datasets/AT&T Database of Faces/faces/training/s3/1.pgm.png,../../datasets/AT&T Database of Faces/faces/training/s3/2.pgm.png,0
../../datasets/AT&T Database of Faces/faces/training/s34/5.pgm.png,../../datasets/AT&T Database of Faces/faces/training/s34/7.pgm.png,0
../../datasets/AT&T Database of Faces/faces/training/s35/10.pgm.png,../../datasets/AT&T Database of Faces/faces/training/s35/8.pgm.png,0
../../datasets/AT&T Database of Faces/faces/training/s36/1.pgm.png,../../datasets/AT&T Database of Faces/faces/training/s36/10.pgm.png,0
../../datasets/AT&T Database of Faces/faces/training/s36/1.pgm.png,../../datasets/AT&T Database of Faces/faces/training/s36/7.pgm.png,0
../../datasets/AT&T Database of Faces/faces/training/s35/3.pgm.png,../../datasets/AT&T Database of Faces/faces/training/s35/6.pgm.png,0
../../datasets/AT&T Database of Faces/faces/training/s13/1.pgm.png,../../datasets/AT&T Database of Faces/faces/training/s13/3.pgm.png,0
../../datasets/AT&T Database of Faces/faces/training/s23/4.pgm.png,../../datasets/AT&T Database of Faces/faces/training/s23/7.pgm.png,0
../../datasets/AT&T Database of Faces/faces/training/s14/1.pgm.png,../../datasets/AT&T Database of Faces/faces/training/s14/10.pgm.png,0
